         27996275 function calls (25060464 primitive calls) in 133.804 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   636525    0.272    0.000    0.418    0.000 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\numpy\core\numeric.py:1398(<listcomp>)
    34560    0.416    0.000    0.416    0.000 {built-in method torch.minimum}
        4    0.000    0.000    0.408    0.102 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\matplotlib\backend_bases.py:3567(new_figure_manager)
        4    0.000    0.000    0.406    0.101 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\matplotlib\backend_bases.py:3576(new_figure_manager_given_figure)
        4    0.000    0.000    0.405    0.101 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\matplotlib\backend_bases.py:1731(new_manager)
        4    0.000    0.000    0.405    0.101 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\matplotlib\backends\_backend_tk.py:476(create_with_canvas)
      720    0.001    0.000    0.400    0.001 c:\Users\demagall\Documents\VS Code\Research\SpaDes\RLOptPyTorchFast.py:210(sample_critic)
    34560    0.383    0.000    0.383    0.000 {built-in method torch.maximum}
       11    0.000    0.000    0.377    0.034 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\pygad\pygad.py:2097(run_select_parents)
       11    0.001    0.000    0.377    0.034 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\pygad\utils\parent_selection.py:432(nsga2_selection)
       10    0.000    0.000    0.363    0.036 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\pygad\pygad.py:2301(run_update_population)
       10    0.000    0.000    0.362    0.036 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\pygad\utils\parent_selection.py:12(steady_state_selection)
       10    0.000    0.000    0.362    0.036 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\pygad\utils\nsga2.py:229(sort_solutions_nsga2)
       81    0.004    0.000    0.344    0.004 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\matplotlib\axis.py:1257(_update_ticks)
      122    0.000    0.000    0.344    0.003 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\matplotlib\collections.py:969(draw)
      128    0.004    0.000    0.343    0.003 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\matplotlib\collections.py:343(draw)
        6    0.000    0.000    0.335    0.056 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\matplotlib\legend.py:708(draw)
   327052    0.142    0.000    0.334    0.000 C:\Users\demagall\AppData\Local\Programs\Python\Python310\lib\traceback.py:301(line)
      720    0.018    0.000    0.329    0.000 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\torch\distributions\categorical.py:52(__init__)
  1632327    0.324    0.000    0.328    0.000 {built-in method builtins.max}
  1628053    0.324    0.000    0.324    0.000 {built-in method builtins.min}
       72    0.001    0.000    0.317    0.004 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\mpl_toolkits\mplot3d\art3d.py:642(draw)
   640149    0.313    0.000    0.313    0.000 {method 'reshape' of 'numpy.ndarray' objects}
     65/6    0.001    0.000    0.289    0.048 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\matplotlib\offsetbox.py:407(draw)
      720    0.010    0.000    0.285    0.000 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\torch\distributions\categorical.py:129(sample)
        1    0.000    0.000    0.280    0.280 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\torch\_dynamo\trace_rules.py:1(<module>)
        4    0.000    0.000    0.278    0.069 C:\Users\demagall\AppData\Local\Programs\Python\Python310\lib\tkinter\__init__.py:2279(__init__)
        4    0.275    0.069    0.275    0.069 {built-in method _tkinter.create}
    11720    0.199    0.000    0.266    0.000 {built-in method torch.sum}
     1335    0.232    0.000    0.259    0.000 c:\Users\demagall\Documents\VS Code\Research\SpaDes\ConfigurationCost.py:202(wireCost)
      110    0.005    0.000    0.257    0.002 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\matplotlib\path.py:603(get_extents)
        1    0.000    0.000    0.244    0.244 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\sympy\polys\__init__.py:1(<module>)
      720    0.239    0.000    0.239    0.000 {built-in method torch.multinomial}
      852    0.203    0.000    0.227    0.000 {method 'call' of '_tkinter.tkapp' objects}
       13    0.000    0.000    0.223    0.017 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\matplotlib\axis.py:1309(get_tightbbox)
   636207    0.220    0.000    0.220    0.000 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\numpy\core\numeric.py:1234(<dictcomp>)
        1    0.000    0.000    0.217    0.217 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\matplotlib\pyplot.py:2347(tight_layout)
        1    0.000    0.000    0.217    0.217 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\matplotlib\figure.py:3511(tight_layout)
        1    0.000    0.000    0.217    0.217 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\matplotlib\layout_engine.py:164(execute)
      701    0.007    0.000    0.217    0.000 <frozen importlib._bootstrap_external>:950(get_code)
        1    0.000    0.000    0.215    0.215 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\matplotlib\_tight_layout.py:194(get_tight_layout_figure)
        1    0.000    0.000    0.215    0.215 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\matplotlib\_tight_layout.py:20(_auto_adjust_subplotpars)
      9/3    0.000    0.000    0.214    0.071 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\matplotlib\artist.py:1408(_get_tightbbox_for_layout_only)
        3    0.000    0.000    0.214    0.071 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\matplotlib\axes\_base.py:4329(get_tightbbox)
       83    0.000    0.000    0.209    0.003 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\matplotlib\axis.py:1595(get_major_ticks)
  1272414    0.202    0.000    0.202    0.000 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\numpy\core\numeric.py:1143(_roll_dispatcher)
   639735    0.196    0.000    0.196    0.000 {method 'ravel' of 'numpy.ndarray' objects}
     2412    0.003    0.000    0.194    0.000 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\torch\nn\functional.py:1858(softmax)
      134    0.001    0.000    0.193    0.001 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\matplotlib\axis.py:1544(_get_tick)
        6    0.002    0.000    0.193    0.032 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\mpl_toolkits\mplot3d\axis3d.py:348(draw)
      720    0.013    0.000    0.192    0.000 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\matplotlib\bezier.py:275(axis_aligned_extrema)
     2412    0.051    0.000    0.190    0.000 {method 'softmax' of 'torch._C.TensorBase' objects}
      735    0.006    0.000    0.188    0.000 <frozen importlib._bootstrap>:921(_find_spec)
        1    0.000    0.000    0.188    0.188 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\torch\_dynamo\variables\__init__.py:1(<module>)
     1692    0.003    0.000    0.186    0.000 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\torch\nn\modules\activation.py:1553(forward)
    75925    0.027    0.000    0.180    0.000 {method 'all' of 'numpy.ndarray' objects}
  1297426    0.179    0.000    0.179    0.000 {built-in method numpy.asanyarray}
      735    0.001    0.000    0.177    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
      735    0.002    0.000    0.176    0.000 <frozen importlib._bootstrap_external>:1399(_get_spec)
  1321563    0.164    0.000    0.164    0.000 {method 'append' of 'list' objects}
      979    0.008    0.000    0.163    0.000 <frozen importlib._bootstrap_external>:1536(find_spec)
        1    0.000    0.000    0.161    0.161 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\sympy\concrete\__init__.py:1(<module>)
        1    0.000    0.000    0.161    0.161 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\sympy\concrete\products.py:1(<module>)
      714    0.025    0.000    0.158    0.000 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\matplotlib\text.py:363(_get_layout)
        1    0.000    0.000    0.158    0.158 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\sympy\concrete\summations.py:1(<module>)
1637/1592    0.027    0.000    0.158    0.000 {built-in method builtins.__build_class__}
        1    0.000    0.000    0.157    0.157 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\sympy\integrals\__init__.py:1(<module>)
      720    0.098    0.000    0.155    0.000 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\torch\distributions\distribution.py:40(__init__)
        6    0.000    0.000    0.154    0.026 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\matplotlib\figure.py:643(add_subplot)
      720    0.154    0.000    0.154    0.000 {method 'logsumexp' of 'torch._C.TensorBase' objects}
    75933    0.024    0.000    0.153    0.000 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\numpy\core\_methods.py:61(_all)
        6    0.000    0.000    0.152    0.025 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\matplotlib\axes\_base.py:574(__init__)
        8    0.000    0.000    0.152    0.019 C:\Users\demagall\Documents\VS Code\Research\SpaDes\.venv\lib\site-packages\matplotlib\axis.py:1368(draw)
